issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
MODVF,15-08-2024,Melcor Development Ltd Ordinar,U,Other OTC,2468,1584,55.81,884,176,14.02
MOGLF,15-08-2024,Mongolian Mining Corp. Ordinar,U,Other OTC,59042,48501,21.73,10541,9940,5.94
MOHCY,15-08-2024,Motor Oil Hellas Corinth Refin,U,Other OTC,31,31,0.00,0,0,999.99
MOJO,15-08-2024,Equator Beverage Company Commo,U,Other OTC,2133,540,295.00,1593,11521,1.00
MOLFF,15-08-2024,MOL MAGYAR OLAJ ES GAZIPARI NY,U,Other OTC,179486,406434,-55.84,-226948,0,999.99
MONDY,15-08-2024,Mondi Plc American Depositary,U,Other OTC,3435,3440,-0.15,-5,10884,1.00
MONI,15-08-2024,MOON EQUITY HLDGS CORP Common,U,Other OTC,1,80855,-100.00,-80854,5704164,1.00
MONOF,15-08-2024,"Monotaro Co. Ltd., Osaka Ordin",U,Other OTC,6536094,6174865,5.85,361229,68810,94.99
MONOY,15-08-2024,"Monotaro Co. Ltd., Osaka Unspo",U,Other OTC,27714,53111,-47.82,-25397,1508595,1.00
MONRF,15-08-2024,Moncler S.P.A. AOR SVN - Ordin,U,Other OTC,1560500,668109,133.57,892391,505,999.99
MONRY,15-08-2024,Moncler S.P.A. American Deposi,U,Other OTC,2789,3554,-21.53,-765,9235,1.00
MONSF,15-08-2024,MONTEA SICAFI SHS (Belgium),U,Other OTC,830,1474,-43.69,-644,0,999.99
MOOOF,15-08-2024,BETTERMOOD FOOD CORP Common St,U,Other OTC,1250,50,2400.00,1200,255,4.90
MOPHY,15-08-2024,Monadelphous Group Ltd. Unspon,U,Other OTC,95,94,1.06,1,2,47.50
MOTS,15-08-2024,MOTUS GI HLDGS INC COM PAR $0.,U,Other OTC,10746,6154,74.62,4592,275748,1.00
MOYFF,15-08-2024,MYNARIC AGNAMENS AKTIEN O N Or,U,Other OTC,1088,1088,0.00,0,0,999.99
MPCB,15-08-2024,Mountain Pacific Bancorp Inc C,U,Other OTC,19,19,0.00,0,855,1.00
MPCMF,15-08-2024,MAPLETREE PANASIA COML TR REIT,U,Other OTC,4918319,1829919,168.77,3088400,0,999.99
MPFRF,15-08-2024,Mapfre SA Reg Shares (Spain),U,Other OTC,8078613,8899778,-9.23,-821165,0,999.99
MPFRY,15-08-2024,Mapfre SA Unsponsored ADR (Spa,U,Other OTC,596,1,59500.00,595,239,2.49
MPGPF,15-08-2024,PageGroup PLC Ordinary Shares,U,Other OTC,4201,8398,-49.98,-4197,17,247.12
MPGPY,15-08-2024,PAGEGROUP PLC American Deposit,U,Other OTC,1,0,100.00,1,0,999.99
MPHYF,15-08-2024,Mcphy Energy Ordinary Shares (,U,Other OTC,191373,191373,0.00,0,18,999.99
MPLNW,15-08-2024,MultiPlan Corporation Warrants,U,Other OTC,5094,5094,0.00,0,182,27.99
MPNGF,15-08-2024,Meituan Dianping Ordinary Shar,U,Other OTC,3758725,3708033,1.37,50692,7276,516.59
MPNGY,15-08-2024,MEITUAN American Depositary Re,U,Other OTC,507448,375372,35.19,132076,525231,1.00
MPSYF,15-08-2024,MorphoSys AG Ordinary Shares (,U,Other OTC,6781,30049,-77.43,-23268,0,999.99
MPVDF,15-08-2024,Mountain Prov Diamonds Inc. Co,U,Other OTC,79518,86615,-8.19,-7097,35008,2.27
MPZAF,15-08-2024,Mips Ab Share Ak Common Stock,U,Other OTC,88326,114148,-22.62,-25822,7,999.99
MPZZF,15-08-2024,MPC Container Ships As Common,U,Other OTC,74474,64178,16.04,10296,43809,1.70
MQBKY,15-08-2024,"Macquarie Group, Ltd. Sponsore",U,Other OTC,2053,3669,-44.04,-1616,24121,1.00
MQCTF,15-08-2024,Macquarie Telecom Group LTD Or,U,Other OTC,35,35,0.00,0,0,999.99
MQMIF,15-08-2024,METALQUEST MINING INC. Common,U,Other OTC,1484,1484,0.00,0,0,999.99
MQMNW,15-08-2024,MCEWEN MNG INC Warrant  11/22/,U,Other OTC,123,0,100.00,123,53723,1.00
MRAAF,15-08-2024,Murata Manufacturing Ordinary,U,Other OTC,1988065,1955248,1.68,32817,3922,506.90
MRAAY,15-08-2024,Murata Manufacturing Co Ltd Un,U,Other OTC,33306,178315,-81.32,-145009,501056,1.00
MRAI,15-08-2024,MARPAI INC CL A COM NEW,U,Other OTC,4023,6159,-34.68,-2136,8185,1.00
MRCBF,15-08-2024,Morguard Corporation Ordinary,U,Other OTC,3331,3461,-3.76,-130,24,138.79
MRCHF,15-08-2024,Miraca Holdings Inc Ordinary s,U,Other OTC,168205,183005,-8.09,-14800,0,999.99
MRCIF,15-08-2024,Mercari Inc Ordinary Shares,U,Other OTC,6140042,6286674,-2.33,-146632,6,999.99
MRETF,15-08-2024,"Martinrea International, Inc.",U,Other OTC,112665,128243,-12.15,-15578,7078,15.92
MRFCF,15-08-2024,MARUKA FURUSATO CORP COM STK (,U,Other OTC,3675,3275,12.21,400,18,204.17
MRGIF,15-08-2024,MORI TRUST SOGO REIT INC TOKYO,U,Other OTC,1336,1339,-0.22,-3,0,999.99
MRHLF,15-08-2024,MIRAIT ONE CORP Ordinary Share,U,Other OTC,37033,39366,-5.93,-2333,0,999.99
MRIHF,15-08-2024,MORI HILLS REIT INVESTMENT COR,U,Other OTC,1309,2143,-38.92,-834,0,999.99
MRLLF,15-08-2024,Minera IRL Ltd Shs (Jersey),U,Other OTC,2701,2701,0.00,0,0,999.99
MRLWF,15-08-2024,MARLOWE PLC ORD GBP0.5 (United,U,Other OTC,67953,68741,-1.15,-788,510,133.24
MRMD,15-08-2024,MariMed Inc. Common Stock,U,Other OTC,51259,10891,370.65,40368,1756590,1.00
MRNJ,15-08-2024,"Metatron, Inc. Common Stock",U,Other OTC,481703,481703,0.00,0,5274822,1.00
MROPF,15-08-2024,Microport Cardioflow Medtech C,U,Other OTC,1077824,1149824,-6.26,-72000,0,999.99
MRPLY,15-08-2024,MR PRICE GROUP LTD Sponsored A,U,Other OTC,1660,3977,-58.26,-2317,7455,1.00
MRPRF,15-08-2024,Merlin Properties Socimi SA Or,U,Other OTC,25849,23507,9.96,2342,175,147.71
MRPT,15-08-2024,"MacReport.net, Inc. (The) Comm",U,Other OTC,270,270,0.00,0,5019,1.00
MRPZF,15-08-2024,MR. PRICE GRP LTD Ordinary Sha,U,Other OTC,709743,984950,-27.94,-275207,0,999.99
MRRDF,15-08-2024,MERIDIAN MNG UK SOCIETAS Ordin,U,Other OTC,83973,96973,-13.41,-13000,34372,2.44
MRRKF,15-08-2024,MORIROKU HOLDINGS CO LTD Commo,U,Other OTC,100,167,-40.12,-67,0,999.99
MRRTY,15-08-2024,Marfrig Global Foods SA Sponso,U,Other OTC,2501,3770,-33.66,-1269,60172,1.00
MRSKF,15-08-2024,DMG MORI CO LTD Ordinary Share,U,Other OTC,395642,163943,141.33,231699,291,999.99
MRTMF,15-08-2024,Maritime Resources Corp. Ordin,U,Other OTC,900,7481,-87.97,-6581,98701,1.00
MRUHF,15-08-2024,Maruha Nichiro Corporation Ord,U,Other OTC,12991,12991,0.00,0,0,999.99
MRVGF,15-08-2024,Mirvac Group Ordinary Shares,U,Other OTC,4794228,7887606,-39.22,-3093378,11781,406.95
MRVSY,15-08-2024,Minerva SA Sponsored ADR (Braz,U,Other OTC,666,1380,-51.74,-714,1564,1.00
MRVT,15-08-2024,Miravant Medical Technologies,U,Other OTC,137500,137500,0.00,0,0,999.99
MRZLF,15-08-2024,Mirasol Resources Ltd Common S,U,Other OTC,21196,5409,291.87,15787,2998,7.07
MRZM,15-08-2024,"Marizyme, Inc. Common Stock",U,Other OTC,3,3,0.00,0,2550,1.00
MSADF,15-08-2024,MS & AD Insurance Group Holdin,U,Other OTC,1829969,1651922,10.78,178047,23845,76.74
MSADY,15-08-2024,MS&AD Insurance Group Holdings,U,Other OTC,20515,16586,23.69,3929,162400,1.00
MSBHF,15-08-2024,Mitsubishi Corporation Ordinar,U,Other OTC,3514108,3269266,7.49,244842,261643,13.43
MSBM,15-08-2024,MSB Global Capital Corp. Commo,U,Other OTC,611,611,0.00,0,0,999.99
MSBN,15-08-2024,Messaben Corp Common Stock,U,Other OTC,96,96,0.00,0,0,999.99
MSBPF,15-08-2024,Mitsubishi Pencil Co Ltd Ordin,U,Other OTC,65286,22786,186.52,42500,0,999.99
MSCF,15-08-2024,MSC INCOME FD INC COM,U,Other OTC,408,408,0.00,0,0,999.99
MSCLF,15-08-2024,SATELLOS BIOSCIENCE INC Common,U,Other OTC,802,3500,-77.09,-2698,13764,1.00
MSEZ,15-08-2024,Media Sentiment Inc Common Sto,U,Other OTC,1,1,0.00,0,9364,1.00
MSGCF,15-08-2024,MAS GOLD CORP COM (Canada),U,Other OTC,72,72,0.00,0,0,999.99
MSGP,15-08-2024,"MedSmart Group, Inc. Common St",U,Other OTC,2323,2323,0.00,0,0,999.99
MSHHF,15-08-2024,MENSCH UND MASCHINE SOFTWARE S,U,Other OTC,160,160,0.00,0,0,999.99
MSHXF,15-08-2024,Mitsubishi Shokuhin Co Ltd Ord,U,Other OTC,834,2600,-67.92,-1766,55,15.16
MSLOF,15-08-2024,Mitsui Osk Lines Ordinary Shar,U,Other OTC,2603141,2326327,11.90,276814,209,999.99
MSLOY,15-08-2024,Mitsui Osk Lines American Depo,U,Other OTC,22116,0,100.00,22116,78943,1.00
MSLPQ,15-08-2024,MUSCLEPHARM CORP COM NEW,U,Other OTC,1406,1406,0.00,0,1,999.99
MSLVF,15-08-2024,FIRST ANDES SILVER LTD COM (Ca,U,Other OTC,76,76,0.00,0,0,999.99
MSMCF,15-08-2024,MIMASU SEMICONDUCTOR IND CO LT,U,Other OTC,4772,131342,-96.37,-126570,0,999.99
MSMGF,15-08-2024,Grid Metals Corp.  Ordinary Sh,U,Other OTC,250,255,-1.96,-5,1246,1.00
MSMKF,15-08-2024,Matsumotokiyoshi Holdings Co.,U,Other OTC,1228171,1226366,0.15,1805,273,999.99
MSOKF,15-08-2024,MITSUI-SOKO HLDGS CO LTD Commo,U,Other OTC,128567,120967,6.28,7600,0,999.99
MSSMY,15-08-2024,Misumi Group Inc American Depo,U,Other OTC,25789,1956,1218.46,23833,870212,1.00
MSSV,15-08-2024,"Meso Numismatics, Inc. Common",U,Other OTC,4142,10288,-59.74,-6146,140885,1.00
MSTH,15-08-2024,Mystic Holdings Inc Common Sto,U,Other OTC,1000,0,100.00,1000,564,1.77
MSUXF,15-08-2024,Misumi Group Inc Ordinary Shar,U,Other OTC,163239,94473,72.79,68766,1127,144.84
MSVB,15-08-2024,MID-SOUTHERN BANCORP INC COM,U,Other OTC,449,449,0.00,0,1349,1.00
MSWV,15-08-2024,Main Street Financial Services,U,Other OTC,5,5,0.00,0,15046,1.00
MSYMF,15-08-2024,MEDICAL SYSTEM NETWORK CO LTD,U,Other OTC,1123,923,21.67,200,0,999.99
MTAGF,15-08-2024,Ceconomy AG Ordinary Shares,U,Other OTC,170968,173785,-1.62,-2817,0,999.99
MTASF,15-08-2024,MONTANA AEROSPACE AG NAMEN AKT,U,Other OTC,24360,22352,8.98,2008,0,999.99
MTBLY,15-08-2024,"Moatable, Inc. American Deposi",U,Other OTC,6201,4358,42.29,1843,27253,1.00
MTCPY,15-08-2024,MTR Corporation Ltd ADR - Unsp,U,Other OTC,368,1587,-76.81,-1219,1843,1.00
MTEHF,15-08-2024,SPARK ENERGY MINERALS INC COM,U,Other OTC,6436,6436,0.00,0,341,18.87
MTGRF,15-08-2024,Mount Gibson Iron Ltd Ordinary,U,Other OTC,89806,90993,-1.30,-1187,0,999.99
MTGRY,15-08-2024,Mount Gibson Iron Ltd Unsponso,U,Other OTC,835,835,0.00,0,68,12.28
MTHRF,15-08-2024,"M3, Inc. Ordinary Shares (Japa",U,Other OTC,5083359,5039037,0.88,44322,4053,999.99
MTHRY,15-08-2024,"M3, INC.  American Depositary",U,Other OTC,717,25805,-97.22,-25088,384445,1.00
MTLFF,15-08-2024,"Metallis Resources, Inc. Ordin",U,Other OTC,6354,2354,169.92,4000,17574,1.00
MTLHF,15-08-2024,Mitsubishi Chemical Holdings C,U,Other OTC,2137068,2167210,-1.39,-30142,132,999.99
MTLHY,15-08-2024,Mitsubishi Chemical Group Corp,U,Other OTC,2536,268,846.27,2268,1554,1.63
MTLZF,15-08-2024,Metall Zug AG Ordinary Shares,U,Other OTC,36,101,-64.36,-65,0,999.99
MTNOF,15-08-2024,"MTN Group, Ltd. Ordinary Share",U,Other OTC,136629,79331,72.23,57298,3746,36.47
MTNOY,15-08-2024,"MTN Group, Ltd. Sponsored Amer",U,Other OTC,2488,60,4046.67,2428,50743,1.00
MTPTF,15-08-2024,Motorpoint PLC Ordinary Shares,U,Other OTC,46463,44340,4.79,2123,0,999.99
MTPVY,15-08-2024,Metropole Television Unsponsor,U,Other OTC,3,3,0.00,0,0,999.99
MTRAF,15-08-2024,Metro Inc Cl A Ordinary Shares,U,Other OTC,1471226,1214870,21.10,256356,26124,56.32
MTRBF,15-08-2024,METRO BK HLDGS PLC ORD GBP0.00,U,Other OTC,1767,1495,18.19,272,20463,1.00
MTRJF,15-08-2024,MTR Corporation Ltd Ordinary S,U,Other OTC,9369104,9087104,3.10,282000,6127,999.99
MTSEF,15-08-2024,MATSUI SECURITIES CO LTD TOKYO,U,Other OTC,80276,80076,0.25,200,0,999.99
MTSFF,15-08-2024,Mitsui Fudosan Co Ltd Ordinary,U,Other OTC,1139379,868950,31.12,270429,42430,26.85
MTSFY,15-08-2024,Mitsui Fudosan Co Ltd Unsponso,U,Other OTC,18416,88207,-79.12,-69791,497107,1.00
MTSSF,15-08-2024,MITSUI DM SUGAR HLDGS CO LTD C,U,Other OTC,10909,10609,2.83,300,0,999.99
MTSUY,15-08-2024,Mitsubishi Corp American Depos,U,Other OTC,4786,223,2046.19,4563,17185,1.00
MTTGF,15-08-2024,GOLDOZ LTD Ordinary Shares,U,Other OTC,14584,14584,0.00,0,0,999.99
MTTRF,15-08-2024,Mattr Corp. Ordinary Shares,U,Other OTC,1120006,876271,27.82,243735,14594,76.74
MTTWF,15-08-2024,METRO AG Ordinary Shares,U,Other OTC,28462,28192,0.96,270,291,97.81
MTUAF,15-08-2024,MTU Aero Engines Holdings AG N,U,Other OTC,199814,215529,-7.29,-15715,292,684.29
MTUAY,15-08-2024,MTU Aero Engines AG Unsponsore,U,Other OTC,422,2554,-83.48,-2132,43466,1.00
MTVX,15-08-2024,APT Moto Vox Group Inc Common,U,Other OTC,43,43,0.00,0,0,999.99
MTWO,15-08-2024,"M2i Global, Inc. Common Stock",U,Other OTC,91,0,100.00,91,14501,1.00
MTWTF,15-08-2024,Metawater Co Ltd Ordinary Shar,U,Other OTC,41009,43009,-4.65,-2000,0,999.99
MTYFF,15-08-2024,"MTY Food Group, Inc. Ordinary",U,Other OTC,175460,152605,14.98,22855,1418,123.74
MUKCF,15-08-2024,MARUWA UNYU KIKAN CO LTD Commo,U,Other OTC,1021478,1006038,1.53,15440,0,999.99
MULYF,15-08-2024,MULTI UNITS LUXEMBOURG SICAV L,U,Other OTC,77,50,54.00,27,0,999.99
MUNLF,15-08-2024,MULTI UNITS LUXEMBOURG SICAV S,U,Other OTC,939,1666,-43.64,-727,0,999.99
MUNMF,15-08-2024,Mundoro Capital Inc Ordinary S,U,Other OTC,57487,86522,-33.56,-29035,38422,1.50
MUPQF,15-08-2024,M Up INC Common Shares (Japan),U,Other OTC,50248,31826,57.88,18422,0,999.99
MURGF,15-08-2024,Muenchener Rueckversicherungs-,U,Other OTC,46932,34895,34.49,12037,288,162.96
MURGY,15-08-2024,Muenchener Re Group AG Unspons,U,Other OTC,14261,25743,-44.60,-11482,89366,1.00
MURMF,15-08-2024,Murchison Minerals Ltd. Ordina,U,Other OTC,42800,31558,35.62,11242,167952,1.00
MUSLF,15-08-2024,Promino Nutritional Sciences I,U,Other OTC,6880,17495,-60.67,-10615,8726,1.00
MUTRF,15-08-2024,MUTARES SE & CO KGAA Ordinary,U,Other OTC,14745,0,100.00,14745,455,32.41
MVLA,15-08-2024,MOVELLA HLDGS INC COM,U,Other OTC,12475,12481,-0.05,-6,20662,1.00
MVLAW,15-08-2024,MOVELLA HLDGS INC WT EXP 02/10,U,Other OTC,4795,4795,0.00,0,0,999.99
MVMDF,15-08-2024,MOUNTAIN VY MD INC COM (Canada,U,Other OTC,171903,69734,146.51,102169,252672,1.00
MWDSF,15-08-2024,UBS ETF SICAV SHS UBS ETF MSCI,U,Other OTC,188,266,-29.32,-78,0,999.99
MWSNF,15-08-2024,Mawson Gold Ltd Common Shares,U,Other OTC,115208,88916,29.57,26292,167414,1.00
MWTCY,15-08-2024,Manila Water Company Inc Unspo,U,Other OTC,209,209,0.00,0,0,999.99
MXCHF,15-08-2024,Orbia Advance Corp S A B DE CV,U,Other OTC,3561063,3120781,14.11,440282,273,999.99
MXCLF,15-08-2024,MAX CO LTD SHS (Japan),U,Other OTC,36133,45033,-19.76,-8900,0,999.99
MXGBF,15-08-2024,Molson Coors CDA Inc Ordinary,U,Other OTC,453,453,0.00,0,0,999.99
MXLLF,15-08-2024,MAXELL LTD Ordinary Shares,U,Other OTC,49598,50511,-1.81,-913,0,999.99
MXROF,15-08-2024,Max Resource Corp. Common Shar,U,Other OTC,100,16385,-99.39,-16285,6902,1.00
MXTLF,15-08-2024,Metalex Ventures Ltd New Ordin,U,Other OTC,249720,249720,0.00,0,0,999.99
MXTRF,15-08-2024,Montero Mining Common Shares,U,Other OTC,70,70,0.00,0,23194,1.00
MXVAF,15-08-2024,Maxvalu Tokai Co Ltd Ordinary,U,Other OTC,100,100,0.00,0,0,999.99
MXXEF,15-08-2024,Mdax Ex Thesaurierungs -Anteil,U,Other OTC,439,290,51.38,149,0,999.99
MYBUF,15-08-2024,"MEYER BURGER TECHNOLOGY AG, BA",U,Other OTC,348705,288759,20.76,59946,106,999.99
MYIDF,15-08-2024,Reklaim Ltd. Common Shares,U,Other OTC,2960,312,848.72,2648,8653,1.00
MYRUF,15-08-2024,MYRIAD URANIUM CORP COM (Canad,U,Other OTC,42333,22620,87.15,19713,111607,1.00
MYRX,15-08-2024,"Myrexis, Inc. Common Stock",U,Other OTC,1230,1230,0.00,0,11,111.82
MYTAY,15-08-2024,Magyar Telekom Telecommunicati,U,Other OTC,2479,2699,-8.15,-220,5969,1.00
