issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
MKMIF,15-08-2024,MURAKAMI CORP SHS (Japan),U,Other OTC,200,200,0.00,0,0,999.99
MKMLF,15-08-2024,Makino Milling Ordinary Shares,U,Other OTC,1562,3061,-48.97,-1499,0,999.99
MKOEF,15-08-2024,Meiko Electronics Co Ltd Ayase,U,Other OTC,81436,5136,1485.59,76300,0,999.99
MKRIF,15-08-2024,Melkior Resources Inc Ordinary,U,Other OTC,14000,14000,0.00,0,546,25.64
MKRO,15-08-2024,"Monkey Rock Group, Inc. Common",U,Other OTC,150,150,0.00,0,576,1.00
MKRYF,15-08-2024,"Manitok Energy, Inc Ordinary S",U,Other OTC,18345,18345,0.00,0,0,999.99
MKTAY,15-08-2024,Makita Corp. American Deposita,U,Other OTC,22748,5247,333.54,17501,27380,1.00
MKTDF,15-08-2024,DEEPMARKIT CORP COM NO PAR NEW,U,Other OTC,3650,4650,-21.51,-1000,201,18.16
MKZR,15-08-2024,Mackenzie Realty Capital Inc C,U,Other OTC,40,300,-86.67,-260,59467,1.00
MLCMF,15-08-2024,MILLICOM INTL CELLULAR S A SWE,U,Other OTC,30909,57930,-46.64,-27021,7,999.99
MLFNF,15-08-2024,Maple Leaf Foods Inc New Ordin,U,Other OTC,857808,746683,14.88,111125,21310,40.25
MLGF,15-08-2024,Malaga Financial Corporation C,U,Other OTC,124,67,85.07,57,1868,1.00
MLGRF,15-08-2024,MITSUBISHI ESTATE LOGISTICS RE,U,Other OTC,3313,3315,-0.06,-2,0,999.99
MLKKF,15-08-2024,MERCATOR MINERALS LTD Ordinary,U,Other OTC,268,268,0.00,0,1818,1.00
MLLCF,15-08-2024,Molecular Partners AG Ordinary,U,Other OTC,57084,54679,4.40,2405,0,999.99
MLLGF,15-08-2024,Mullen Group Ld. Ordinary Shar,U,Other OTC,449283,382815,17.36,66468,362,999.99
MLLOF,15-08-2024,GABO MINING LTD Ordinary Share,U,Other OTC,765,797,-4.02,-32,749,1.02
MLLUY,15-08-2024,Metallurgical Corp China Ltd U,U,Other OTC,610,610,0.00,0,0,999.99
MLMLF,15-08-2024,McFarlane Lake Mining Limited,U,Other OTC,950,950,0.00,0,2182,1.00
MLPH,15-08-2024,Molecular Pharmacology (USA) L,U,Other OTC,3037,3037,0.00,0,364,8.34
MLPKF,15-08-2024,MLP AG (Germany) Ordinary Shar,U,Other OTC,1000,0,100.00,1000,4,250.00
MLRT,15-08-2024,"Metalert, Inc. Common Stock",U,Other OTC,7,207,-96.62,-200,23116,1.00
MLRYY,15-08-2024,VK CO LTD Global Depositary Re,U,Other OTC,264152,269599,-2.02,-5447,0,999.99
MLSPF,15-08-2024,Melrose Industries PLC Ordinar,U,Other OTC,1582433,882855,79.24,699578,10837,146.02
MLTAF,15-08-2024,MULTI UNITS LUXEMBOURG SICAV A,U,Other OTC,22,78,-71.79,-56,0,999.99
MLTTY,15-08-2024,Multiplan Empreendimentos Imob,U,Other OTC,101,101,0.00,0,0,999.99
MLTUF,15-08-2024,MULTI UNITS LUXEMBOURG SICAV S,U,Other OTC,972,803,21.05,169,0,999.99
MLUZF,15-08-2024,Multi Units Luxembourg SICAV S,U,Other OTC,2944,2668,10.34,276,0,999.99
MLXEF,15-08-2024,Metals X Limited Ordinary Shar,U,Other OTC,64044,44684,43.33,19360,56706,1.13
MLXSF,15-08-2024,Melexis Nv Ieper Ordinary Shar,U,Other OTC,3966,18117,-78.11,-14151,0,999.99
MLYBY,15-08-2024,Malayan Banking Berhad Sponsor,U,Other OTC,932,6321,-85.26,-5389,3671,1.00
MLYCF,15-08-2024,MULTI-METAL DEV LTD Ordinary S,U,Other OTC,10009,7689,30.17,2320,13705,1.00
MLYXF,15-08-2024,MULTI UNITS LUXEMBOURG SICAV S,U,Other OTC,1101,1662,-33.75,-561,0,999.99
MMCOF,15-08-2024,"Members Co Ltd, Tokyo Ordinary",U,Other OTC,3800,3900,-2.56,-100,0,999.99
MMGRF,15-08-2024,MOMENTUM GROUP AB SHARE AK B (,U,Other OTC,22039,22039,0.00,0,0,999.99
MMLTF,15-08-2024,MMG Ltd Ordinary Shares (Hong,U,Other OTC,687080,807080,-14.87,-120000,91,999.99
MMMM,15-08-2024,"Quad M Solutions, Inc. Common",U,Other OTC,53385,53385,0.00,0,1009,52.91
MMMPF,15-08-2024,MERMAID MARITIME PUBLIC COMPAN,U,Other OTC,100,163600,-99.94,-163500,4545,1.00
MMMWD,15-08-2024,"Mass Megawatts Wind Power, Inc",U,Other OTC,1108,0,100.00,1108,7882,1.00
MMNFQ,15-08-2024,Medmen Enterprises Inc Ordinar,U,Other OTC,318771,318771,0.00,0,135447,2.35
MMNGF,15-08-2024,Metallic Minerals Corp Common,U,Other OTC,122151,37,330037.84,122114,206741,1.00
MMNNF,15-08-2024,Munters Group AP Ordinary Shar,U,Other OTC,182913,219081,-16.51,-36168,660,277.14
MMRGF,15-08-2024,"Minaurum Gold, Inc. Ordinary S",U,Other OTC,35950,23557,52.61,12393,275641,1.00
MMSBF,15-08-2024,"MEGMILK SNOW BRAND CO LTD, SAP",U,Other OTC,50282,32916,52.76,17366,0,999.99
MMSDF,15-08-2024,MacArthur Minerals Ltd Ordinar,U,Other OTC,20042,2600,670.85,17442,52964,1.00
MMSMY,15-08-2024,"Mitsu Mining & Smelting Co., L",U,Other OTC,4950,0,100.00,4950,8491,1.00
MMTHF,15-08-2024,MOMENTUM MET HLDGS LTD ORDINAR,U,Other OTC,1032,0,100.00,1032,0,999.99
MMTIF,15-08-2024,"Micromem Technologies, Inc. Or",U,Other OTC,609320,17217,3439.06,592103,3526868,1.00
MMTOF,15-08-2024,Mitsubishi Motors Ordinary Sha,U,Other OTC,5936732,7536911,-21.23,-1600179,8312,714.24
MNARF,15-08-2024,Morguard North American Reside,U,Other OTC,100330,94223,6.48,6107,598,167.78
MNBEF,15-08-2024,Minebea Co Ltd Ordinary Shares,U,Other OTC,2313677,2807501,-17.59,-493824,27,999.99
MNDJF,15-08-2024,Mandalay Resources Corporation,U,Other OTC,13550,10303,31.52,3247,8547,1.59
MNGG,15-08-2024,"Mining Global, Inc. Common Sto",U,Other OTC,904066,904066,0.00,0,6298523,1.00
MNGNF,15-08-2024,Mars Engineering Fgn SHS (Japa,U,Other OTC,138826,135426,2.51,3400,0,999.99
MNGPF,15-08-2024,Man Group PLC Ordinary Shares,U,Other OTC,66425,57641,15.24,8784,413,160.84
MNHFF,15-08-2024,Mayr-Melnhof Karton Ag Ordinar,U,Other OTC,2136,2111,1.18,25,0,999.99
MNHVF,15-08-2024,MOWI Asa Ordinary Shares,U,Other OTC,602260,531601,13.29,70659,2503,240.62
MNICF,15-08-2024,Mani Inc Takanezawa Ordinary S,U,Other OTC,26678,34078,-21.71,-7400,0,999.99
MNIVF,15-08-2024,Monash IVF Group Limited Ordin,U,Other OTC,81452,81452,0.00,0,0,999.99
MNKIF,15-08-2024,MONKS INVESTMENT TRUST PLC SHS,U,Other OTC,153,0,100.00,153,0,999.99
MNLXF,15-08-2024,MINILUXE HLDGS CORP COM (Canad,U,Other OTC,25,25,0.00,0,0,999.99
MNMB,15-08-2024,Merchants & Marine Bancorp Inc,U,Other OTC,15,15,0.00,0,417,1.00
MNMRF,15-08-2024,Monumental Energy Corp.  Commo,U,Other OTC,812,0,100.00,812,35232,1.00
MNMT,15-08-2024,MOTIVATING THE MASSES INC Comm,U,Other OTC,375,375,0.00,0,0,999.99
MNNLF,15-08-2024,MENICON CO LTD COM STK (Japan),U,Other OTC,126869,118174,7.36,8695,0,999.99
MNODF,15-08-2024,Mondi Plc Ordinary Shares,U,Other OTC,461943,489375,-5.61,-27432,412,999.99
MNRHF,15-08-2024,Menorah Mivtachim Holdings Ltd,U,Other OTC,2,2,0.00,0,0,999.99
MNSEF,15-08-2024,Magnis Energy Technologies Ltd,U,Other OTC,1000,35870,-97.21,-34870,101991,1.00
MNTHF,15-08-2024,Minth Group Ltd Ordinary Share,U,Other OTC,342946,330094,3.89,12852,25455,13.47
MNTHY,15-08-2024,Minth Group Ltd Unsponsored AD,U,Other OTC,1211,329,268.09,882,6816,1.00
MNTR,15-08-2024,"Mentor Capital, Inc. Common St",U,Other OTC,1172,0,100.00,1172,112368,1.00
MNULF,15-08-2024,MANULIFE US REIT REIT,U,Other OTC,192,192,0.00,0,0,999.99
MNXBF,15-08-2024,"Monex Group, Inc. Ordinary Sha",U,Other OTC,415076,374036,10.97,41040,18,999.99
MNXMF,15-08-2024,FireFly Metals Ltd  Ordinary S,U,Other OTC,437087,0,100.00,437087,46370,9.43
MNXXF,15-08-2024,Manganese X Energy Corp Ordina,U,Other OTC,487,21831,-97.77,-21344,53983,1.00
MNYFF,15-08-2024,MONEY FORWARD INC SHS (Japan),U,Other OTC,909443,929226,-2.13,-19783,0,999.99
MOBNF,15-08-2024,M O B A NETWORK AB SHARE AK Or,U,Other OTC,1000,0,100.00,1000,182,5.49
MOBQ,15-08-2024,"Mobiquity Technologies, Inc. C",U,Other OTC,39948,44356,-9.94,-4408,17987,2.22
MODGF,15-08-2024,R8 Capital Investments PLC ORD,U,Other OTC,200000,200000,0.00,0,0,999.99
