issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
FMCXF,15-08-2024,Foran Mining Corp Ordinary Sha,U,Other OTC,7070511,6601726,7.10,468785,45054,156.93
FMFP,15-08-2024,First Community Finl Mifflntwn,U,Other OTC,45,45,0.00,0,0,999.99
FMHS,15-08-2024,"Farmhouse, Inc. Common Stock",U,Other OTC,300,300,0.00,0,7,42.86
FMMFF,15-08-2024,Fuji corp Ordinary Shares,U,Other OTC,46149,38950,18.48,7199,304,151.81
FMOCY,15-08-2024,Fomento de Construcciones y Co,U,Other OTC,530,530,0.00,0,0,999.99
FMTYF,15-08-2024,BANCO INVEX SA FIBRAS CERTIFIC,U,Other OTC,43110,7876,447.36,35234,0,999.99
FMXUF,15-08-2024,Fomento Economico Mexicano SAB,U,Other OTC,15032414,15238931,-1.36,-206517,169,999.99
FMZNF,15-08-2024,QORIA LTD Ordinary Shares,U,Other OTC,87416,87416,0.00,0,0,999.99
FNCDY,15-08-2024,Covivio American Depositary Re,U,Other OTC,7,8,-12.50,-1,0,999.99
FNCH,15-08-2024,FINCH THERAPEUTICS GROUP INC C,U,Other OTC,9082,494,1738.46,8588,98317,1.00
FNCHF,15-08-2024,"FINEOS CORP HLDG PLC, CHESS DE",U,Other OTC,121,223,-45.74,-102,0,999.99
FNCNF,15-08-2024,FINCANTIERI S P A Ordinary Sha,U,Other OTC,995438,528362,88.40,467076,9,999.99
FNCSF,15-08-2024,North American Financial 15 Sp,U,Other OTC,386,1612,-76.05,-1226,510,1.00
FNCTF,15-08-2024,Orange Ordinary Shares,U,Other OTC,953728,1207868,-21.04,-254140,1631,584.75
FNDTF,15-08-2024,FRIENDTIMES INC. HKD SHS (Caym,U,Other OTC,71996,71996,0.00,0,0,999.99
FNEDF,15-08-2024,FASTNED B V DR (Netherlands),U,Other OTC,41310,41610,-0.72,-300,0,999.99
FNEVY,15-08-2024,Fraser & Neave Limited Unspons,U,Other OTC,132,139,-5.04,-7,8,16.50
FNICF,15-08-2024,Fathom Nickel Inc. Common Stoc,U,Other OTC,14680,25047,-41.39,-10367,151528,1.00
FNLIF,15-08-2024,First National Financial Corpo,U,Other OTC,139270,142090,-1.98,-2820,118,999.99
FNLPF,15-08-2024,"Fresnillo Plc, London Ordinary",U,Other OTC,547804,544963,0.52,2841,8038,68.15
FNMA,15-08-2024,Federal National Mortgage Asso,U,Other OTC,2854716,3187826,-10.45,-333110,6485372,1.00
FNMAG,15-08-2024,Federal National Mortgage Asso,U,Other OTC,6915,7305,-5.34,-390,5543,1.25
FNMAH,15-08-2024,Federal National Mortgage Asso,U,Other OTC,35949,41088,-12.51,-5139,12384,2.90
FNMAI,15-08-2024,Federal National Mortgage Asso,U,Other OTC,18085,25964,-30.35,-7879,11449,1.58
FNMAJ,15-08-2024,Federal National Mortgage Asso,U,Other OTC,3794,6213,-38.93,-2419,61050,1.00
FNMAK,15-08-2024,Federal National Mortgage Asso,U,Other OTC,6514,13688,-52.41,-7174,1789,3.64
FNMAL,15-08-2024,Federal National Mortgage Asso,U,Other OTC,7576,17179,-55.90,-9603,3615,2.10
FNMAM,15-08-2024,Federal National Mortgage Asso,U,Other OTC,1930,1649,17.04,281,5477,1.00
FNMAN,15-08-2024,Federal National Mortgage Asso,U,Other OTC,6581,1119,488.11,5462,7585,1.00
FNMAO,15-08-2024,Federal National Mortgage Asso,U,Other OTC,486,28,1635.71,458,8247,1.00
FNMAP,15-08-2024,Federal National Mortgage Asso,U,Other OTC,1525,46,3215.22,1479,16524,1.00
FNMAS,15-08-2024,Federal National Mortgage Asso,U,Other OTC,5175843,5640970,-8.25,-465127,1107779,4.67
FNMAT,15-08-2024,Federal National Mortgage Asso,U,Other OTC,12573,30040,-58.15,-17467,186017,1.00
FNMCF,15-08-2024,FIRST NORDIC METALS CORP Ordin,U,Other OTC,2882,0,100.00,2882,44891,1.00
FNMFM,15-08-2024,Federal National Mortgage Asso,U,Other OTC,23,23,0.00,0,1761,1.00
FNMFN,15-08-2024,Federal National Mortgage Asso,U,Other OTC,22615,20135,12.32,2480,44326,1.00
FNMFO,15-08-2024,Federal National Mortgage Asso,U,Other OTC,1,1,0.00,0,0,999.99
FNNCF,15-08-2024,FINANCIAL FIFTEEN SPLIT CORP O,U,Other OTC,5357,5130,4.42,227,1262,4.24
FNNNF,15-08-2024,FINNAIR OYJ SHS NEW (Finland),U,Other OTC,218656,168147,30.04,50509,44,999.99
FNNTF,15-08-2024,FLATEXDEGIRO AG Ordinary Share,U,Other OTC,585688,558464,4.87,27224,0,999.99
FNOEF,15-08-2024,FURUNO ELECTRIC CO LTD SHS (Ja,U,Other OTC,50061,43961,13.88,6100,0,999.99
FNOXF,15-08-2024,Fortnox AB Ordinary Shares AK,U,Other OTC,4491900,3166759,41.85,1325141,0,999.99
FNQQF,15-08-2024,Fineqia Intl Inc Common Shares,U,Other OTC,322,322,0.00,0,0,999.99
FNRN,15-08-2024,First Northern Community Banco,U,Other OTC,26,34,-23.53,-8,8360,1.00
FNTOF,15-08-2024,FRONTEO INC SHS (Japan),U,Other OTC,5770,14870,-61.20,-9100,0,999.99
