issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
AEBZY,15-08-2024,Anadolu Efes Biracilik Ve Malt,U,Other OTC,39158,104261,-62.44,-65103,96347,1.00
AEDFF,15-08-2024,"Aedifica Sicafi, Bruxelles Ord",U,Other OTC,125916,123462,1.99,2454,5,999.99
AEFSF,15-08-2024,AEFFE S.P.A. RIMINI SHS (Italy,U,Other OTC,88658,84648,4.74,4010,0,999.99
AEGBF,15-08-2024,AEGIRBIO AB SHARE AK (Sweden),U,Other OTC,2252,2252,0.00,0,0,999.99
AEGOF,15-08-2024,Aegon Ltd Ordinary Shares,U,Other OTC,3633082,3398995,6.89,234087,1013,999.99
AEGXF,15-08-2024,AECON GROUP INC Ordinary Share,U,Other OTC,1255707,1239529,1.31,16178,2381,527.39
AELTF,15-08-2024,Adacel Technologies Ltd Ordina,U,Other OTC,100,100,0.00,0,0,999.99
AEMFF,15-08-2024,AEM Holdings Limited Ordinary,U,Other OTC,3492052,3831665,-8.86,-339613,0,999.99
AEMMF,15-08-2024,A2A SpA Ordinary Shares,U,Other OTC,9823649,14465093,-32.09,-4641444,0,999.99
AEMMY,15-08-2024,A2A SpA Unsponsored ADR (Italy,U,Other OTC,1,1,0.00,0,0,999.99
AEOJF,15-08-2024,Aeon Financial Services Co Ltd,U,Other OTC,1027053,1020026,0.69,7027,0,999.99
AEORF,15-08-2024,AEON REIT INVT CORP SHS (Japan,U,Other OTC,515,1666,-69.09,-1151,0,999.99
AEOXF,15-08-2024,Aeroports de Paris Adp Ordinar,U,Other OTC,154318,116751,32.18,37567,177,871.85
AEPT,15-08-2024,AMERICAN ENERGY PARTNERS INC C,U,Other OTC,60000,0,100.00,60000,473137,1.00
AERG,15-08-2024,"Applied Energetics, Inc Common",U,Other OTC,740599,680170,8.88,60429,117897,6.28
AETHF,15-08-2024,Aether Global Innovations Corp,U,Other OTC,80,80,0.00,0,31213,1.00
AETUF,15-08-2024,Arc Resources Ltd. Ordinary Sh,U,Other OTC,8742280,7621064,14.71,1121216,147698,59.19
AEXAF,15-08-2024,Atos Origin SA Ordinary Shares,U,Other OTC,213119,261063,-18.36,-47944,1383,154.10
AEXAY,15-08-2024,Atos Origin SA Unsponsored ADR,U,Other OTC,22437,114522,-80.41,-92085,54620,1.00
AEXFF,15-08-2024,Aminex Plc Ord Ordinary Shares,U,Other OTC,4000,4000,0.00,0,0,999.99
AEYGQ,15-08-2024,ADDVANTAGE TECHNOLOGIES GROUP,U,Other OTC,13321,13384,-0.47,-63,863,15.44
AFBOF,15-08-2024,African Rainbow Minerals Limit,U,Other OTC,31701,30701,3.26,1000,0,999.99
AFCL,15-08-2024,Amcor Financial Corp Common St,U,Other OTC,10,10,0.00,0,0,999.99
AFFN,15-08-2024,"Affinity Networks, Inc. Common",U,Other OTC,7600,7600,0.00,0,0,999.99
AFFS,15-08-2024,"AmTrust Financial Services, In",U,Other OTC,454,454,0.00,0,2208,1.00
AFFT,15-08-2024,"AmTrust Financial Services, In",U,Other OTC,793,793,0.00,0,4077,1.00
AFFU,15-08-2024,Affluence Corporation Common S,U,Other OTC,30397,2666,1040.17,27731,745107,1.00
AFFY,15-08-2024,"Affymax, Inc. Common Stock",U,Other OTC,32810,32810,0.00,0,2299,14.27
AFGVF,15-08-2024,AGFA-GEVAERT N.V. BRUESSEL Ord,U,Other OTC,33130,4500,636.22,28630,0,999.99
AFGVY,15-08-2024,Agfa Gevaert NV Unsponsored AD,U,Other OTC,95,95,0.00,0,0,999.99
AFGYF,15-08-2024,AFC Energy Plc Ordinary Shares,U,Other OTC,3752427,3735968,0.44,16459,5855,640.89
AFHIF,15-08-2024,ATLAS FINL HLDGS INC Ordinary,U,Other OTC,8052,8052,0.00,0,0,999.99
AFIB,15-08-2024,ACUTUS MED INC Common Stock,U,Other OTC,863,3051,-71.71,-2188,27303,1.00
AFIIQ,15-08-2024,ARMSTRONG FLOORING INC Common,U,Other OTC,24571,24571,0.00,0,2722,9.03
AFLYY,15-08-2024,Air France ADS ADS,U,Other OTC,40335,15488,160.43,24847,52718,1.00
AFMJF,15-08-2024,ALPHAMIN RESOURCES CORP. Ordin,U,Other OTC,224960,5738,3820.53,219222,275589,1.00
AFPW,15-08-2024,Alumifuel Power Corp. Common S,U,Other OTC,1,1,0.00,0,370315,1.00
AFRAF,15-08-2024,AIR FRANCE KLM SHS NEW (France,U,Other OTC,791711,745831,6.15,45880,10867,72.85
AFSIA,15-08-2024,"Amtrust Financial Services, In",U,Other OTC,97,97,0.00,0,6159,1.00
AFSIM,15-08-2024,"AmTrust Financial Services, In",U,Other OTC,960,1051,-8.66,-91,2729,1.00
AFSIN,15-08-2024,"AmTrust Financial Services, In",U,Other OTC,2229,2229,0.00,0,4786,1.00
AFSIP,15-08-2024,"AmTrust Financial Services, In",U,Other OTC,716,716,0.00,0,2930,1.00
AFTLF,15-08-2024,"AFRIMAT LIMITED, JOHANNESBURG",U,Other OTC,2920,2920,0.00,0,0,999.99
AFXXF,15-08-2024,AFRY AB Ordinary Shares,U,Other OTC,101766,117973,-13.74,-16207,0,999.99
AGDXF,15-08-2024,Antioquia Gold Inc Ordinary Sh,U,Other OTC,600,600,0.00,0,0,999.99
AGESF,15-08-2024,Ageas NV Ordinary Shares (Belg,U,Other OTC,30486,23116,31.88,7370,427,71.40
AGESY,15-08-2024,Ageas Sponsored ADR (Belgium),U,Other OTC,3192,2780,14.82,412,9138,1.00
AGFAF,15-08-2024,DIGICANN VENTURES INC COM NEW,U,Other OTC,15286,19270,-20.67,-3984,18600,1.00
AGFMF,15-08-2024,A G F Mgmt Ltd Cl B Non Vtg Or,U,Other OTC,16353,12514,30.68,3839,1886,8.67
AGGI,15-08-2024,"Allied Energy, Inc. Common Sto",U,Other OTC,10000,10000,0.00,0,60714,1.00
AGGZF,15-08-2024,AG Growth International Inc. C,U,Other OTC,353662,259996,36.03,93666,3271,108.12
AGILQ,15-08-2024,"AgileThought, Inc. Class A Com",U,Other OTC,149656,149706,-0.03,-50,7567,19.78
AGLFF,15-08-2024,Angelalign Technologies Inc Or,U,Other OTC,386210,350200,10.28,36010,364,999.99
AGLNF,15-08-2024,AGL Energy Ltd Ordinary Shares,U,Other OTC,569132,485925,17.12,83207,0,999.99
AGLWQ,15-08-2024,"AgileThought, Inc. Warrant",U,Other OTC,1780,1780,0.00,0,0,999.99
AGLXY,15-08-2024,AGL Energy Ltd American Deposi,U,Other OTC,15,157,-90.45,-142,3234,1.00
AGMCF,15-08-2024,ASANUMA CORP COM STK (Japan),U,Other OTC,223225,201489,10.79,21736,0,999.99
AGMJF,15-08-2024,Algoma Cent Corp (F) Ordinary,U,Other OTC,2600,9593,-72.90,-6993,3711,1.00
AGMRF,15-08-2024,SILVER MTN RES INC COM (Canada,U,Other OTC,608383,587170,3.61,21213,385167,1.58
AGNMF,15-08-2024,AGRONOMICS LTD Ordinary Shares,U,Other OTC,24035,13068,83.92,10967,17601,1.37
AGNPF,15-08-2024,Algernon Pharmaceuticals Inc O,U,Other OTC,16649,16661,-0.07,-12,2943,5.66
AGOAF,15-08-2024,Abengoa Sa ABG/AC B 0.01 (Spai,U,Other OTC,1300000,1300000,0.00,0,0,999.99
AGORF,15-08-2024,AGORA HOSPITALITY GROUP CO LTD,U,Other OTC,2783,5977,-53.44,-3194,0,999.99
AGOWF,15-08-2024,Abengoa SA Warrant Expiring 03,U,Other OTC,6720,6720,0.00,0,0,999.99
AGPPF,15-08-2024,Anglo Platinum Ltd Ordinary Sh,U,Other OTC,102849,102243,0.59,606,293,351.02
AGPYF,15-08-2024,Agile Property Holdings Limite,U,Other OTC,22767,20767,9.63,2000,0,999.99
AGPYY,15-08-2024,Agile Group Holdings Limited A,U,Other OTC,1717,1519,13.03,198,91,18.87
AGRPF,15-08-2024,Absa Group Ltd Ordinary Shares,U,Other OTC,22655,23350,-2.98,-695,0,999.99
AGRPY,15-08-2024,Absa Group Ltd American Deposi,U,Other OTC,316,11,2772.73,305,853,1.00
AGRUF,15-08-2024,AF Gruppen ASA Shares -A- (Nor,U,Other OTC,1,1,0.00,0,0,999.99
AGRX,15-08-2024,AGILE THERAPEUTICS INC Common,U,Other OTC,11745,11741,0.03,4,92791,1.00
AGSS,15-08-2024,"Ameriguard Security Services,",U,Other OTC,218,238,-8.40,-20,1569,1.00
AGXPF,15-08-2024,SILVER X MNG CORP Common Share,U,Other OTC,431206,482629,-10.65,-51423,565856,1.00
AGXXF,15-08-2024,AGILYX ASA Ordinary Shares,U,Other OTC,179570,196002,-8.38,-16432,6727,26.69
AGYTF,15-08-2024,Allergy Therapeutics Plc Worth,U,Other OTC,205,205,0.00,0,0,999.99
AGZNF,15-08-2024,AEGEAN AIRLINES Ordinary Share,U,Other OTC,1079,1047,3.06,32,0,999.99
AHAHF,15-08-2024,DESIGN MILK CO LTD Ordinary Sh,U,Other OTC,120,120,0.00,0,0,999.99
AHCHF,15-08-2024,Anhui Conch Cement Shares -H-O,U,Other OTC,11058244,10195530,8.46,862714,1420,999.99
AHCHY,15-08-2024,Anhui Conch Cement Unsponsored,U,Other OTC,3778,14576,-74.08,-10798,33364,1.00
AHEXF,15-08-2024,Adecco Group AG Ordinary Share,U,Other OTC,1475150,1679946,-12.19,-204796,353,999.99
AHEXY,15-08-2024,Adecco Group AG American Depos,U,Other OTC,16606,4787,246.90,11819,133875,1.00
AHFI,15-08-2024,"Absolute Health and Fitness, I",U,Other OTC,1,1,0.00,0,0,999.99
AHGIF,15-08-2024,Alternate Health Corp. Ordinar,U,Other OTC,2967,2967,0.00,0,0,999.99
AHHLF,15-08-2024,"ASAHI HLDGS INC, KOBE SHS (Jap",U,Other OTC,39703,37468,5.97,2235,0,999.99
AHICF,15-08-2024,"Asahi Intec Co Ltd, Nagoya Ord",U,Other OTC,1840307,1817428,1.26,22879,291,999.99
AHII,15-08-2024,American Heritage Internationa,U,Other OTC,76,76,0.00,0,0,999.99
AHIX,15-08-2024,"Aluf Holdings, Inc. Common Sto",U,Other OTC,100,1518,-93.41,-1418,146548,1.00
AHKSF,15-08-2024,ASAHI KASEI CORP Ordinary Shar,U,Other OTC,699439,778427,-10.15,-78988,322,999.99
AHKSY,15-08-2024,Asahi Kaisai Corporation Ameri,U,Other OTC,83550,19742,323.21,63808,179883,1.00
AHLD,15-08-2024,ATD NEW HOLDINGS INC Common St,U,Other OTC,47885,47885,0.00,0,0,999.99
AHNR,15-08-2024,Athena Gold Corporation Common,U,Other OTC,3251,2453,32.53,798,37902,1.00
AHODF,15-08-2024,Koninklijke Ahold Delhaize N V,U,Other OTC,2035104,2107260,-3.42,-72156,3260,624.27
AHOTF,15-08-2024,American Hotel Income Properti,U,Other OTC,16549,0,100.00,16549,44170,1.00
AHPIQ,15-08-2024,ALLIED HEALTHCARE PRODS INC CO,U,Other OTC,22,22,0.00,0,517,1.00
AIABF,15-08-2024,CAPITAL A BERHAD Ordinary Shar,U,Other OTC,40816,0,100.00,40816,9455,4.32
AIAGF,15-08-2024,Aurubis Ag Ordinary Shares (Ge,U,Other OTC,236834,312902,-24.31,-76068,38,999.99
AIAPF,15-08-2024,ASCENTIAL PLC ORD GBP0.017 (Un,U,Other OTC,109568,229541,-52.27,-119973,4,999.99
AIBGY,15-08-2024,AIB Group plc American Deposit,U,Other OTC,497,362,37.29,135,1290,1.00
AIBRF,15-08-2024,AIB Group PLC EUR 2.47 Ordinar,U,Other OTC,30227,21757,38.93,8470,4093,7.39
AICAF,15-08-2024,Air China Ltd Shares H (China),U,Other OTC,2212397,782889,182.59,1429508,32000,69.14
AICHF,15-08-2024,AICHI STEEL CORP AICHI COM STK,U,Other OTC,20535,20935,-1.91,-400,0,999.99
AICXF,15-08-2024,AICHI CORP COM STK (Japan),U,Other OTC,3134,1234,153.97,1900,0,999.99
AIDA,15-08-2024,"AIDA Pharmaceuticals, Inc. Com",U,Other OTC,3,3,0.00,0,0,999.99
AIFLF,15-08-2024,Aiful Corp Ordinary Shares (Ja,U,Other OTC,588332,587432,0.15,900,0,999.99
AIHZF,15-08-2024,"AI HOLDINGS CORP, TOKYO SHS (J",U,Other OTC,14201,3801,273.61,10400,0,999.99
AIIXY,15-08-2024,Aixtron SE American Depositary,U,Other OTC,400,0,100.00,400,181,2.21
AIJTY,15-08-2024,JIANPU TECHNOLOGY INC ADR NEW,U,Other OTC,49,4026,-98.78,-3977,21322,1.00
AIKCF,15-08-2024,Aica Kogyo Co Ltd Ordinary Sha,U,Other OTC,10841,32911,-67.06,-22070,0,999.99
AILIH,15-08-2024,Ameren Illinois Company. NEW 4,U,Other OTC,264,362,-27.07,-98,289,1.00
AILIM,15-08-2024,Ameren Illinois Company 4.70%,U,Other OTC,1,1,0.00,0,0,999.99
AILIP,15-08-2024,Ameren Illinois Company 4.20%,U,Other OTC,3,3,0.00,0,166,1.00
AILLM,15-08-2024,Ameren Illinois Company 4.92%,U,Other OTC,113,60,88.33,53,344,1.00
AILLO,15-08-2024,Ameren Illinois Company 4.25%,U,Other OTC,13,33,-60.61,-20,108,1.00
AILLP,15-08-2024,Ameren Illinois Company 4.00%,U,Other OTC,62,12,416.67,50,366,1.00
AIMFF,15-08-2024,"Aimia, Inc.  Common Shares (Ca",U,Other OTC,223278,241934,-7.71,-18656,104779,2.13
AINMF,15-08-2024,NETRAMARK HLDGS INC Common Sto,U,Other OTC,5000,5000,0.00,0,1818,2.75
AINPF,15-08-2024,AIN HLDGS INC Ordinary Shares,U,Other OTC,113332,121232,-6.52,-7900,0,999.99
AINSF,15-08-2024,Ainsworth Game Technology Ltd,U,Other OTC,58790,65138,-9.75,-6348,34584,1.70
AIOSF,15-08-2024,Atresmedia Corporacion De Medi,U,Other OTC,810,810,0.00,0,248,3.27
AIPUF,15-08-2024,Airports of Thailand Public Co,U,Other OTC,4251092,4308100,-1.32,-57008,0,999.99
AIQUF,15-08-2024,L'Air Liquide Ord Ordinary Sha,U,Other OTC,3683,30053,-87.74,-26370,766,4.81
AIQUY,15-08-2024,L'Air Liquide Ord American Dep,U,Other OTC,133324,145099,-8.12,-11775,358398,1.00
AIRRF,15-08-2024,"Aurion Resources, Ltd. Ordinar",U,Other OTC,356715,363731,-1.93,-7016,16110,22.14
AIRYY,15-08-2024,Air China Limited Sponsored AD,U,Other OTC,2325,6909,-66.35,-4584,1517,1.53
AISFF,15-08-2024,Amundi IDX Solutions SICAV Flo,U,Other OTC,10,10,0.00,0,0,999.99
AISXF,15-08-2024,AISIX SOLUTIONS INC COM (Canad,U,Other OTC,1371,1371,0.00,0,7545,1.00
AITTF,15-08-2024,Trenchant Technologies Capital,U,Other OTC,800,800,0.00,0,0,999.99
AITUF,15-08-2024,Anritsu Corp (F) Ordinary Shar,U,Other OTC,171990,143551,19.81,28439,0,999.99
AITUY,15-08-2024,Anritsu Corp (F) American Depo,U,Other OTC,1048,299,250.50,749,927,1.13
AITX,15-08-2024,ARTIFICIAL INTELLIGENCE TECHNO,U,Other OTC,779305,915689,-14.89,-136384,133578768,1.00
AIVAF,15-08-2024,AVIVA PLC Ordinary Shares,U,Other OTC,537294,563141,-4.59,-25847,775,693.28
AIXN,15-08-2024,"AiXin Life International, Inc.",U,Other OTC,81,81,0.00,0,218,1.00
AIXXF,15-08-2024,AIXTRON SE  Namen - AKT,U,Other OTC,870568,755158,15.28,115410,4959,175.55
AJIA,15-08-2024,Ajia Innogroup Holdings Limite,U,Other OTC,2562,2562,0.00,0,0,999.99
AJINF,15-08-2024,"Ajinomoto Company, Inc. Ordina",U,Other OTC,1442264,1985615,-27.36,-543351,386,999.99
AJINY,15-08-2024,"Ajinomoto Company, Inc. Americ",U,Other OTC,3122,27569,-88.68,-24447,67703,1.00
AJMPF,15-08-2024,Ashmore Group Plc Ordinary sha,U,Other OTC,1632652,1526815,6.93,105837,0,999.99
AJYG,15-08-2024,"AJ1G, Inc. Common Stock",U,Other OTC,293,293,0.00,0,0,999.99
AKAAF,15-08-2024,Aker Asa Shares A (Norway),U,Other OTC,39637,37734,5.04,1903,0,999.99
AKAFF,15-08-2024,Akatsuki Inc Common Shares (Ja,U,Other OTC,4894,9194,-46.77,-4300,0,999.99
AKBIF,15-08-2024,Akebono Brake Industries Ordin,U,Other OTC,231961,240258,-3.45,-8297,0,999.99
AKBKF,15-08-2024,Akita Bank Ltd Ordinary Shares,U,Other OTC,1100,100,1000.00,1000,0,999.99
AKBLF,15-08-2024,Alk-Abello A/S Ordinary Shares,U,Other OTC,562396,567197,-0.85,-4801,377,999.99
AKBTY,15-08-2024,Akbank Turk Anonim Sirketi ADR,U,Other OTC,3818,12403,-69.22,-8585,48648,1.00
AKCCF,15-08-2024,AKER CARBON CAPTURE ASA Ordina,U,Other OTC,6220413,6284174,-1.01,-63761,25926,239.93
AKEJF,15-08-2024,Ariake Japan Ordinary Shares,U,Other OTC,28565,23965,19.19,4600,0,999.99
AKEMF,15-08-2024,ALASKA ENERGY METALS CORP Comm,U,Other OTC,127575,468042,-72.74,-340467,1842349,1.00
AKESF,15-08-2024,AKESO INC Ordinary Shares (Cay,U,Other OTC,1944202,1817024,7.00,127178,273,999.99
AKHOF,15-08-2024,Aker Horizons ASA Ordinary Sha,U,Other OTC,21463,53892,-60.17,-32429,0,999.99
AKRBF,15-08-2024,Aker BP Asa Ordinary Shares,U,Other OTC,6504956,6317038,2.97,187918,2551,999.99
AKRRF,15-08-2024,Philly Shipyard ASA Ordinary S,U,Other OTC,98,83,18.07,15,3,32.67
AKRTF,15-08-2024,Aker Solutions Holding ASA Ord,U,Other OTC,475845,415162,14.62,60683,0,999.99
AKRYY,15-08-2024,AKER SOLUTIONS ASA  American D,U,Other OTC,1,1,0.00,0,0,999.99
AKSY,15-08-2024,"Aksys, Ltd. Common Stock",U,Other OTC,119848,119848,0.00,0,0,999.99
AKTAF,15-08-2024,Akita Drilling Ltd Non Vtg A O,U,Other OTC,2246,19806,-88.66,-17560,9162,1.00
AKZOF,15-08-2024,Akzo Nobel N.V. Ordinary Share,U,Other OTC,221619,221939,-0.14,-320,965,229.66
AKZOY,15-08-2024,Akzo Nobel N.V. American Depos,U,Other OTC,24220,34066,-28.90,-9846,482357,1.00
ALBBY,15-08-2024,Alibaba Health Information Tec,U,Other OTC,249,259,-3.86,-10,66,3.77
ALBHF,15-08-2024,Alibaba Health Information Tec,U,Other OTC,34886735,35116735,-0.65,-230000,3636,999.99
ALBKF,15-08-2024,ALPHA SVCS & HLDGS S A COM REG,U,Other OTC,8528307,6769547,25.98,1758760,0,999.99
ALBKY,15-08-2024,Alpha Services and Holdings SA,U,Other OTC,132451,131869,0.44,582,31221,4.24
ALBY,15-08-2024,"Community Capital Bancshares,",U,Other OTC,104,0,100.00,104,2103,1.00
ALCIF,15-08-2024,ALLIANCE INTL EDUCATION LEASIN,U,Other OTC,41229,41229,0.00,0,0,999.99
ALCKF,15-08-2024,ALTECH CORP KANAGAWA Common St,U,Other OTC,41704,38504,8.31,3200,0,999.99
ALDS,15-08-2024,"AppLife Digital Solutions, Inc",U,Other OTC,200,200,0.00,0,1844,1.00
ALDVF,15-08-2024,KIPLIN METALS INC Ordinary Sha,U,Other OTC,51,51,0.00,0,117,1.00
ALEGF,15-08-2024,ALLEGRO EU SA ORD BR (Luxembou,U,Other OTC,347484,352818,-1.51,-5334,0,999.99
ALFDF,15-08-2024,Astral Foods Ltd Ordinary Shar,U,Other OTC,275,275,0.00,0,0,999.99
ALFFF,15-08-2024,Alfa S.A.B. de C.V. Ordinary S,U,Other OTC,4785600,3388770,41.22,1396830,27784,172.24
ALFIQ,15-08-2024,ALFI INC Common Shares,U,Other OTC,16046,16136,-0.56,-90,6077,2.64
ALFNF,15-08-2024,Alfen NV Ordinary Shares,U,Other OTC,275997,217097,27.13,58900,0,999.99
ALFVF,15-08-2024,Alfa-Laval Ab Ordinary shares,U,Other OTC,654842,699282,-6.36,-44440,13,999.99
ALFVY,15-08-2024,Alfa-Laval Ab Unsponsored ADR,U,Other OTC,11280,9095,24.02,2185,29039,1.00
ALFWQ,15-08-2024,ALFI INC Warrant   05/03/2026,U,Other OTC,3759,3759,0.00,0,3,999.99
ALGEF,15-08-2024,"ALLIGATOR ENERGY LTD, SPRINGHI",U,Other OTC,2250000,2264041,-0.62,-14041,204384,11.01
ALGGF,15-08-2024,"Alliance Global Group, Inc. Or",U,Other OTC,1471,1471,0.00,0,182,8.08
ALGGY,15-08-2024,"Alliance Global Group, Inc. Un",U,Other OTC,957,975,-1.85,-18,76,12.59
ALGIF,15-08-2024,Allgeier SE Ordinary Shares (G,U,Other OTC,60,0,100.00,60,0,999.99
ALGWF,15-08-2024,Alliance Growers Corp Ordinary,U,Other OTC,100,100,0.00,0,18,5.56
ALHPF,15-08-2024,ALPHA HPA LTD ORDINARY FULLY P,U,Other OTC,2865027,2434273,17.70,430754,0,999.99
ALITF,15-08-2024,Alliance Trust Co Ltd Ord Ordi,U,Other OTC,80,436,-81.65,-356,0,999.99
ALIV,15-08-2024,AUTOLIV INC SHS SWEDISH DEPOSI,U,Other OTC,7788,0,100.00,7788,0,999.99
ALIZF,15-08-2024,Allianz Ag Muenchen Namen-Akt,U,Other OTC,323169,355517,-9.10,-32348,271,999.99
ALIZY,15-08-2024,Allianz SE Unsponsored ADR (Ge,U,Other OTC,48178,29943,60.90,18235,244559,1.00
ALKEF,15-08-2024,Alkane Resources Ltd. Ordinary,U,Other OTC,3,31803,-99.99,-31800,2909,1.00
ALLDF,15-08-2024,ALD S A SHS (France),U,Other OTC,4255,2593,64.10,1662,91,46.76
ALLWF,15-08-2024,ALLIED MINDS LTD Ordinary Shar,U,Other OTC,4773,4773,0.00,0,0,999.99
ALMMF,15-08-2024,Aluminum Corp China Limited Al,U,Other OTC,7583784,7125935,6.43,457849,434264,17.46
ALMU,15-08-2024,AELUMA INC Common Stock,U,Other OTC,3485,3000,16.17,485,8540,1.00
ALNKF,15-08-2024,Arealink Co Ltd Tokyo SHS (Jap,U,Other OTC,7400,67,10944.78,7333,0,999.99
ALNPF,15-08-2024,ANA Holdings Inc. Ordinary Sha,U,Other OTC,1991315,1824936,9.12,166379,836,999.99
ALNPY,15-08-2024,ANA Holdings Inc. Ord American,U,Other OTC,5920,1506,293.09,4414,4985,1.19
ALNZF,15-08-2024,ALLIANZ TECHNOLOGY TR PLC Ordi,U,Other OTC,8590,5509,55.93,3081,0,999.99
ALOD,15-08-2024,"Allied Resources, Inc. Common",U,Other OTC,22,22,0.00,0,0,999.99
ALPIB,15-08-2024,Alpine Bks Colo CL B Common Sh,U,Other OTC,249,592,-57.94,-343,1038,1.00
ALPKF,15-08-2024,Alpek SAB DE CV Ordinary Share,U,Other OTC,2138235,2633803,-18.82,-495568,0,999.99
ALPMF,15-08-2024,Astellas Pharma Inc Ordinary S,U,Other OTC,6387725,7175072,-10.97,-787347,6919,923.22
ALPMY,15-08-2024,Astellas Pharma Inc Unsponsore,U,Other OTC,30687,298745,-89.73,-268058,324769,1.00
ALRHF,15-08-2024,Allreal Holding Ag Zug Reg Shs,U,Other OTC,21214,23025,-7.87,-1811,0,999.99
ALSCF,15-08-2024,ALSET CAP INC COM NEW (Canada),U,Other OTC,37430,1540,2330.52,35890,57742,1.00
ALSHF,15-08-2024,ALSO HOLDING AG HERGISWIL NW N,U,Other OTC,17671,14994,17.85,2677,0,999.99
ALSMY,15-08-2024,Alstom Unsponsored ADR (France,U,Other OTC,187381,184734,1.43,2647,1028916,1.00
ALSSF,15-08-2024,Alsea Sa Ordinary Shares,U,Other OTC,2012391,1334634,50.78,677757,8899,226.14
ALTHF,15-08-2024,Altech Chemicals Ltd. Ordinary,U,Other OTC,71538,30000,138.46,41538,27834,2.57
ALVOF,15-08-2024,ALVOPETRO ENERGY LTD COM NEW (,U,Other OTC,16486,15523,6.20,963,29364,1.00
ALVRQ,15-08-2024,Alvarion Ltd. Ordinary Shares,U,Other OTC,11131,11131,0.00,0,2,999.99
ALVSF,15-08-2024,A LIVING SMART CITY SVCS CO LT,U,Other OTC,19341016,18267809,5.87,1073207,0,999.99
ALXEF,15-08-2024,ALX RES CORP Common Shares,U,Other OTC,2998,0,100.00,2998,85090,1.00
ALXXF,15-08-2024,AVANTE CORP Common Stock,U,Other OTC,325,325,0.00,0,2727,1.00
ALYAF,15-08-2024,Alithya Group Inc. Class A Sub,U,Other OTC,239450,227263,5.36,12187,25253,9.48
AMADF,15-08-2024,Amadeus IT Group SA Ordinary S,U,Other OTC,217744,341236,-36.19,-123492,4597,47.37
AMADY,15-08-2024,Amadeus IT Group SA American D,U,Other OTC,2506,108,2220.37,2398,105259,1.00
AMANF,15-08-2024,Amano Corp Ordinary Shares,U,Other OTC,8857,19157,-53.77,-10300,0,999.99
AMBBY,15-08-2024,Ambu AS American Depositary Re,U,Other OTC,115,283,-59.36,-168,202,1.00
AMBFF,15-08-2024,Ambu A/S Ordinary Shares,U,Other OTC,2927662,3055231,-4.18,-127569,8,999.99
AMBK,15-08-2024,American Bank Inc Common Stock,U,Other OTC,58,39,48.72,19,431,1.00
AMCCF,15-08-2024,Amcor PLC CDI 1:1,U,Other OTC,1780364,1587744,12.13,192620,41530,42.87
AMDLY,15-08-2024,Amada Co. Ltd American Deposit,U,Other OTC,343,40,757.50,303,167,2.05
AMDUF,15-08-2024,AMUNDI SA Ordinary Shares Fran,U,Other OTC,1969,1693,16.30,276,21,93.76
AMDWF,15-08-2024,Amada Hldgs Co Ltd Ordinary Sh,U,Other OTC,154591,187813,-17.69,-33222,327,472.76
AMEGF,15-08-2024,AMERICAN EAGLE GOLD CORP Commo,U,Other OTC,7645,7172,6.60,473,11581,1.00
AMEN,15-08-2024,AMEN Properties Inc Common Sto,U,Other OTC,2,3,-33.33,-1,3,1.00
AMEUF,15-08-2024,Anteris Technologies Ltd.  Ord,U,Other OTC,2300,1797,27.99,503,4189,1.00
AMFPF,15-08-2024,Amplifon Spa Milano Ordinary S,U,Other OTC,3828733,3363581,13.83,465152,4,999.99
AMGDF,15-08-2024,ASTON MARTIN LAGONDA GLOBAL HL,U,Other OTC,1984803,1896065,4.68,88738,6412,309.55
AMGXF,15-08-2024,Anges Inc Ordinary Shares (Jap,U,Other OTC,547542,326593,67.65,220949,0,999.99
AMHGQ,15-08-2024,AMERGENT HOSPITALITY GROUP INC,U,Other OTC,4274,4274,0.00,0,5466,1.00
AMIGF,15-08-2024,"Admiral Group plc, Cardiff Ord",U,Other OTC,301250,307915,-2.16,-6665,358,841.48
AMIGY,15-08-2024,"Admiral Group plc, Cardiff Uns",U,Other OTC,9547,129,7300.78,9418,6598,1.45
AMIVF,15-08-2024,Atrium Mtg Invt Corp Common Sh,U,Other OTC,63483,60208,5.44,3275,97,654.46
AMKAF,15-08-2024,A.P. Moeller-Maersk A/S A Shar,U,Other OTC,6,0,100.00,6,16,1.00
AMKBF,15-08-2024,A.P. Moeller-Maersk A/S B Shar,U,Other OTC,29612,17134,72.83,12478,53,558.72
AMKBY,15-08-2024,A.P. Moller-Maersk A/S Unspons,U,Other OTC,23939,26420,-9.39,-2481,386432,1.00
AMKYF,15-08-2024,"ABC-MART INC, TOKYO SHS (Japan",U,Other OTC,539284,608594,-11.39,-69310,0,999.99
AMLLF,15-08-2024,Aeon Mall Co Ltd Ordinary Shar,U,Other OTC,1303556,1348455,-3.33,-44899,0,999.99
AMLTF,15-08-2024,AMP Limited Ordinary Shares (A,U,Other OTC,4033074,3437484,17.33,595590,0,999.99
AMMCF,15-08-2024,Amur Minerals Corporation Ordi,U,Other OTC,312,312,0.00,0,0,999.99
AMMPF,15-08-2024,AmmPower Corp Common Stock,U,Other OTC,149963,22650,562.09,127313,708119,1.00
